id,game_id,question_text,question_type,options,answer,created_at,source,points,image_path_1,image_path_2,image_path_3,image_path_4,approved
0107daf8-30f9-4a1f-840e-e3f9fdd0b1d9,,Based on Talents Matarenda: Provide any 4 Keys of working talents?,structured,,"1. Willing Heart, 2. Obedience, 3. Planning, action and target, 4. Faith.",2026-04-25 18:40:37.554245+00,Talents Matarenda - Pages 23-28,4,,,,,1
033ec169-b376-442a-a4c0-ef0bc0648746,,"Based on African Apostle: According to the writer, this book about Ezekiel Guti could have been subtitled?",multiple_choice,"{""A"":""Apostle Ezekiel Guti"",""B"":""Evangelist from Ngaone"",""C"":""Revival from Bindura mountains"",""D"":""Cottage 593""}",D,2024-10-19 15:05:41+00,African Apostle - Page 52,2,,,,,1
0468f88c-01dc-4088-ac99-d8ce925ef037,,"According to New African Apostle, what was the message that mbuya Dorcas heard which she narrated in a small round thatched hut",multiple_choice,"{""A"":""The last supper"",""B"":""The lost coin"",""C"":""The lost sheep"",""D"":""The last punishment""}",D,2024-10-24 09:11:14+00,"The New African Apostle, page 16",2,,,,,1
0bc889b0-2653-4518-aacc-8aa8316560fd,,Based on History of ZAOGA Forward In Faith: In which year did Ezekiel see the second coming of Jesus Christ?,multiple_choice,"{""A"":""1945"",""B"":""1946"",""C"":""1947"",""D"":""1948""}",D,2024-10-19 13:39:30+00,History of ZAOGA Forward In Faith - Page 24,2,,,,,1
138d532f-bc3f-4966-8e5f-56de6c9cab70,,jh,multiple_choice,"{""option_a"":""13rf"",""option_b"":""er"",""option_c"":""ffd"",""option_d"":""fffffgf""}",B,2026-04-27 00:28:33.995432+00,bnghj,2,,,,,0
1542e203-da6d-4744-853a-943f9c44aea9,,Based on History of ZAOGA Forward In Faith: Who is a prominent person who repented in South Africa and what did the person do at the official opening of the first church building in South Africa?,structured,,The Queen of Muleji in Pietersburg repented and came to the church opening ceremony and gave gifts to the servant of God,2026-04-25 18:40:37.554245+00,History of ZAOGA Forward In Faith - Page 103,4,,,,,1
16428c6b-6a2a-4c0b-ae5e-1db802beabd7,,Based on History of ZAOGA Forward In Faith: The first church building was bought from?,multiple_choice,"{""A"":""The Roman Catholic"",""B"":""One missionary church"",""C"":""The Salvation Army"",""D"":""an unknown church""}",C,2024-10-19 15:09:59+00,History of ZAOGA Forward In Faith - Page 32,2,,,,,1
16adcb10-0a40-4def-980d-92ad8960cdad,,Based on History of ZAOGA Forward In Faith:In which year was the Prayer for Africa done?,multiple_choice,"{""A"":""1956"",""B"":""1958"",""C"":""1957"",""D"":""1960""}",C,2024-10-13 02:26:58+00,History of ZAOGA Forward In Faith - Page 12,2,,,,,1
18669735-2bba-40f5-b8b4-401305485532,,"Based on History of ZAOGA Forward In Faith: After the Jericho march and crusades held, where was the conference held?",multiple_choice,"{""A"":""In Gwanzura stadium in Highfield"",""B"":""Under gum trees in Highfield"",""C"":""Zimbabwe Grounds in Highfield"",""D"":""Cottage 593 in Highfield""}",B,2024-10-19 15:05:41+00,History of ZAOGA Forward In Faith - Page 39,2,,,,,1
19d2f3bb-d338-4b7b-8db4-cda5cf3c7ed2,,"Based on History of ZAOGA Forward In Faith: Unless one is ________, has refrained from ___________, ____________ and ___________ and is moving in ______________ __ ______  is not allowed to be in leadership?",structured,,"Unless one is saved, has refrained from drinking alcohol, smoking and fornication, and is moving in the fear of God, you are not allowed to be in leadership.",2026-04-25 18:40:37.554245+00,History of ZAOGA Forward In Faith - Page 9,4,,,,,1
